COUNTY,PVOUT_MIN,PVOUT_MAX,DNI_MIN,DNI_MAX,GHI_MIN,GHI_MAX,DIF_MIN,DIF_MAX,GTI_MIN,GTI_MAX,OPTA_MIN,OPTA_MAX,TEMP_MIN,TEMP_MAX
Zengilan,3.76,4.04,3.57,3.96,4.07,4.31,1.76,1.9,4.6,4.96,33.0,34.0,9.2,15.2
Gubadli,3.82,4.07,3.64,3.99,4.04,4.28,1.77,1.88,4.61,4.94,33.0,34.0,7.7,12.8
Cebrayil,3.94,4.12,3.82,4.12,4.22,4.34,1.77,1.9,4.84,5.02,,,,
Lacin,3.71,4.33,3.41,4.56,3.84,4.36,1.68,1.82,4.4,5.1,33.0,36.0,-2.3,8.7
Susa,3.52,4.0,3.21,3.86,3.73,4.13,1.7,1.79,4.2,4.8,34.0,35.0,2.9,8.2
Xocali,3.33,3.82,2.92,3.58,3.54,3.94,1.7,1.83,3.96,4.55,33.0,35.0,1.7,10.4
Fuzuli,3.75,3.95,3.54,3.8,4.03,4.23,1.85,1.9,4.57,4.84,32.0,33.0,11.9,15.2
Agdam,3.68,3.82,3.45,3.62,3.9,4.06,1.78,1.88,4.46,4.65,33.0,34.0,9.5,14.1
Kelbecer,3.47,4.31,3.07,4.47,3.66,4.34,1.69,1.8,4.13,5.05,34.0,36.0,-1.8,8.4
Xocavend,3.58,3.99,3.34,3.96,3.84,4.19,1.7,1.87,4.32,4.81,32.0,34.0,5.3,11.6
Terter,3.37,3.83,2.96,3.67,3.56,4.04,1.69,1.84,4.0,4.65,33.0,34.0,3.2,14.0
Xankendi,3.4,3.73,3.05,3.49,3.63,3.89,1.71,1.83,4.06,4.48,34.0,34.0,5.3,10.0
